iter	AUC	Logloss
132	0.7552140293	0.4035318152
133	0.7553610212	0.4034627286
134	0.7555067064	0.4033648158
135	0.7555571925	0.4033185756
136	0.7556457582	0.4032649998
137	0.7557146555	0.4031511567
138	0.7558178774	0.4030705425
139	0.7559102643	0.403026155
140	0.7559871514	0.4029605964
141	0.7560651633	0.4028927576
142	0.756120794	0.4028679169
143	0.756122382	0.4028202349
144	0.7562143223	0.4027681796
145	0.7562722192	0.4026866058
146	0.756306643	0.4026473236
147	0.7563713552	0.4026207987
148	0.7566502528	0.4024767077
149	0.7568146635	0.4024084768
150	0.7568776553	0.402359163
151	0.7569821179	0.4023081173
152	0.756934874	0.4022449896
153	0.7570531491	0.4022048616
154	0.7570781936	0.4021223326
155	0.7571998598	0.4020580673
156	0.7572822388	0.4019748294
157	0.7573130069	0.4019591967
158	0.7574171882	0.4019081208
159	0.7574967717	0.4018577214
160	0.7575947663	0.4017580363
161	0.7577819222	0.4016466165
162	0.7578905864	0.4015498822
163	0.7579660508	0.4015149913
164	0.7580627056	0.40146985691165	0.7581073193	0.40143763541166	0.7582425334	0.40135133781167	0.7585120351	0.40121976071168	0.7586553217	0.40114460291169	0.7586867845	0.401055217
170	0.7588599293	0.4009848283
171	0.758896272	0.4009471075
172	0.7590374909	0.40088408471173	0.7592275746	0.40077908617174	0.759278954	0.40075129141175	0.7594692032	0.40067770017176	0.7596236556	0.40058452617177	0.7596725537	0.40056303417178	0.759719384	0.400542344
179	0.7598710739	0.4004858488
180	0.7599462075	0.4004500089
181	0.7600964251	0.4003783822
182	0.7602321851	0.4002656837
183	0.7603025216	0.400231574
184	0.7604149408	0.4001770714
185	0.7603839742	0.4001268539
186	0.7603999041	0.4000699437
187	0.7605250938	0.4000095614
188	0.760636719	0.3999632107
189	0.7606969483	0.3999235971
190	0.7608353054	0.3998751019
191	0.7608803988	0.3998561114

005181479
